Month,Day,Hour,Concentration,AQI,Date,Count
3,24,19,158.15086206896552,220.79310344827587,2019-03-24 19:00:00,29
3,24,20,169.28794642857142,230.82142857142858,2019-03-24 20:00:00,28
3,24,21,171.20089285714286,228.92857142857142,2019-03-24 21:00:00,28
3,24,22,164.33223684210526,224.26315789473685,2019-03-24 22:00:00,38
3,24,23,169.9046052631579,228.8684210526316,2019-03-24 23:00:00,38
3,25,0,174.4408783783784,232.9189189189189,2019-03-25 00:00:00,37
3,25,1,205.13651315789474,261.63157894736844,2019-03-25 01:00:00,38
3,25,2,212.63815789473685,267.3421052631579,2019-03-25 02:00:00,38
3,25,3,232.54440789473685,282.1578947368421,2019-03-25 03:00:00,38
3,25,4,217.22222222222223,268.8888888888889,2019-03-25 04:00:00,36
3,25,5,202.17927631578948,258.55263157894734,2019-03-25 05:00:00,38
3,25,6,226.47861842105263,280.2631578947368,2019-03-25 06:00:00,38
3,25,7,223.7956081081081,280.94594594594594,2019-03-25 07:00:00,37
3,25,8,189.41776315789474,247.81578947368422,2019-03-25 08:00:00,38
3,25,9,181.48684210526315,241.76315789473685,2019-03-25 09:00:00,38
3,25,10,189.02871621621622,248.51351351351352,2019-03-25 10:00:00,37
3,25,11,191.9543918918919,250.45945945945945,2019-03-25 11:00:00,37
3,25,12,186.05756578947367,247.55263157894737,2019-03-25 12:00:00,38
3,25,13,183.79111842105263,246.78947368421052,2019-03-25 13:00:00,38
3,25,14,177.26182432432432,239.78378378378378,2019-03-25 14:00:00,37
3,25,15,170.6266891891892,233.35135135135135,2019-03-25 15:00:00,37
3,25,16,190.05263157894737,247.52631578947367,2019-03-25 16:00:00,38
3,25,17,188.66940789473685,245.02631578947367,2019-03-25 17:00:00,38
3,25,18,188.8935810810811,245.78378378378378,2019-03-25 18:00:00,37
3,25,19,177.05756578947367,237.07894736842104,2019-03-25 19:00:00,38
3,25,20,176.12993421052633,235.76315789473685,2019-03-25 20:00:00,38
3,25,21,145.86655405405406,210.56756756756758,2019-03-25 21:00:00,37
3,25,22,133.30756578947367,202.23684210526315,2019-03-25 22:00:00,38
3,25,23,93.56756756756756,167.0,2019-03-25 23:00:00,37
3,26,0,94.19243421052632,161.3684210526316,2019-03-26 00:00:00,38
3,26,1,116.76480263157895,181.6578947368421,2019-03-26 01:00:00,38
3,26,2,112.13344594594595,181.05405405405406,2019-03-26 02:00:00,37
3,26,3,133.52631578947367,197.0,2019-03-26 03:00:00,38
3,26,4,147.43256578947367,204.55263157894737,2019-03-26 04:00:00,38
3,26,5,170.08952702702703,224.51351351351352,2019-03-26 05:00:00,37
3,26,6,169.27138157894737,228.55263157894737,2019-03-26 06:00:00,38
3,26,7,140.16940789473685,204.8421052631579,2019-03-26 07:00:00,38
3,26,8,110.24155405405405,178.21621621621622,2019-03-26 08:00:00,37
3,26,9,102.70101351351352,172.75675675675674,2019-03-26 09:00:00,37
3,26,10,94.55098684210526,166.31578947368422,2019-03-26 10:00:00,38
3,26,11,102.55756578947368,172.6578947368421,2019-03-26 11:00:00,38
3,26,12,105.48519736842105,177.07894736842104,2019-03-26 12:00:00,38
3,26,13,111.53885135135135,184.56756756756758,2019-03-26 13:00:00,37
3,26,14,142.32601351351352,212.0810810810811,2019-03-26 14:00:00,37
3,26,15,215.01923076923077,263.6666666666667,2019-03-26 15:00:00,39
3,26,16,252.47743055555554,289.02777777777777,2019-03-26 16:00:00,36
3,26,17,163.49198717948718,230.35897435897436,2019-03-26 17:00:00,39
